LeftPupilPoints,RightPupilPoints,LeftPupilPoints-X,LeftPupilPoints-Y,RightPupilPoints-X,RightPupilPoints-Y
"-24.65,-9.58","-27.49,-10.76",-24.65,-9.58,-27.49,-10.76
"-24.70,-9.24","-27.46,-10.75",-24.7,-9.24,-27.46,-10.75
"-24.87,-8.93","-27.68,-10.47",-24.87,-8.93,-27.68,-10.47
"-25.14,-8.75","-27.79,-10.44",-25.14,-8.75,-27.79,-10.44
"-25.28,-8.63","-27.86,-10.36",-25.28,-8.63,-27.86,-10.36
"-25.46,-8.58","-27.88,-10.36",-25.46,-8.58,-27.88,-10.36
"-25.56,-8.74","-27.90,-10.26",-25.56,-8.74,-27.9,-10.26
"-25.64,-8.69","-27.73,-10.57",-25.64,-8.69,-27.73,-10.57
"-25.41,-8.67","-27.87,-10.24",-25.41,-8.67,-27.87,-10.24
"-25.46,-8.17","-27.84,-10.39",-25.46,-8.17,-27.84,-10.39
"-25.40,-8.16","-28.03,-10.45",-25.4,-8.16,-28.03,-10.45
"-25.56,-7.61","-28.28,-10.23",-25.56,-7.61,-28.28,-10.23
"-25.70,-7.87","-28.20,-10.63",-25.7,-7.87,-28.2,-10.63
"-25.80,-8.28","-28.35,-10.61",-25.8,-8.28,-28.35,-10.61
"-25.84,-8.65","-28.30,-10.73",-25.84,-8.65,-28.3,-10.73
"-25.98,-8.07","-28.38,-10.67",-25.98,-8.07,-28.38,-10.67
"-26.06,-8.08","-26.64,-11.02",-26.06,-8.08,-26.64,-11.02
"-23.51,-6.89","11.93,-4.43",-23.51,-6.89,11.93,-4.43
"19.58,4.04","25.89,-7.88",19.58,4.04,25.89,-7.88
"27.32,7.60","27.41,-6.65",27.32,7.6,27.41,-6.65
"26.60,9.13","28.46,-6.31",26.6,9.13,28.46,-6.31
"29.87,6.40","29.04,-6.32",29.87,6.4,29.04,-6.32
"25.65,10.08","29.43,-5.99",25.65,10.08,29.43,-5.99
"26.17,10.54","31.37,-5.88",26.17,10.54,31.37,-5.88
"27.14,11.09","31.27,-5.61",27.14,11.09,31.27,-5.61
"26.94,11.30","31.49,-5.57",26.94,11.3,31.49,-5.57
"32.47,7.09","31.54,-5.62",32.47,7.09,31.54,-5.62
"32.09,7.23","31.36,-5.57",32.09,7.23,31.36,-5.57
"32.07,6.94","30.99,-5.46",32.07,6.94,30.99,-5.46
"31.46,7.47","30.70,-5.56",31.46,7.47,30.7,-5.56
"26.73,11.07","30.64,-5.66",26.73,11.07,30.64,-5.66
"31.42,7.26","30.63,-5.65",31.42,7.26,30.63,-5.65
"27.15,10.99","30.59,-5.76",27.15,10.99,30.59,-5.76
"27.24,11.17","30.49,-5.74",27.24,11.17,30.49,-5.74
"27.07,9.90","30.50,-6.21",27.07,9.9,30.5,-6.21
"27.60,9.80","30.70,-6.23",27.6,9.8,30.7,-6.23
"27.13,10.00","30.73,-6.20",27.13,10.0,30.73,-6.2
"27.88,9.79","30.54,-6.58",27.88,9.79,30.54,-6.58
"27.83,9.43","30.50,-6.41",27.83,9.43,30.5,-6.41
"27.80,9.20","30.38,-6.49",27.8,9.2,30.38,-6.49
"28.10,8.94","30.41,-6.58",28.1,8.94,30.41,-6.58
"28.33,9.23","30.22,-6.51",28.33,9.23,30.22,-6.51
"27.67,9.57","30.23,-6.26",27.67,9.57,30.23,-6.26
"27.77,10.26","30.32,-6.09",27.77,10.26,30.32,-6.09
"33.21,2.62","30.51,-5.86",33.21,2.62,30.51,-5.86
"27.42,10.34","30.71,-5.96",27.42,10.34,30.71,-5.96
"27.64,11.21","30.65,-5.99",27.64,11.21,30.65,-5.99
"27.70,10.39","30.81,-6.09",27.7,10.39,30.81,-6.09
"27.45,9.96","31.10,-6.43",27.45,9.96,31.1,-6.43
"27.84,10.43","31.21,-6.46",27.84,10.43,31.21,-6.46
"27.91,10.47","31.31,-6.66",27.91,10.47,31.31,-6.66
"28.23,7.82","31.15,-6.62",28.23,7.82,31.15,-6.62
"28.10,10.37","31.07,-6.54",28.1,10.37,31.07,-6.54
"27.80,9.60","31.09,-6.81",27.8,9.6,31.09,-6.81
"28.02,9.73","31.32,-6.69",28.02,9.73,31.32,-6.69
"27.78,9.55","30.91,-6.71",27.78,9.55,30.91,-6.71
"28.13,10.20","30.99,-6.84",28.13,10.2,30.99,-6.84
"28.25,9.84","30.89,-6.67",28.25,9.84,30.89,-6.67
"28.00,9.74","15.72,-3.53",28.0,9.74,15.72,-3.53
"3.04,4.48","-24.50,-12.93",3.04,4.48,-24.5,-12.93
"-18.82,-9.29","-25.93,-13.49",-18.82,-9.29,-25.93,-13.49
"-19.22,-8.98","-25.40,-13.33",-19.22,-8.98,-25.4,-13.33
"-19.64,-9.30","-25.86,-12.95",-19.64,-9.3,-25.86,-12.95
"-21.57,-8.94","-29.26,-13.08",-21.57,-8.94,-29.26,-13.08
"-24.12,-9.75","-29.13,-12.76",-24.12,-9.75,-29.13,-12.76
"-24.79,-9.55","-29.12,-12.80",-24.79,-9.55,-29.12,-12.8
"-25.37,-10.08","-29.12,-12.96",-25.37,-10.08,-29.12,-12.96
"-25.60,-10.12","-29.02,-12.90",-25.6,-10.12,-29.02,-12.9
"-25.79,-10.26","-29.08,-12.82",-25.79,-10.26,-29.08,-12.82
"-26.04,-10.31","-29.06,-12.34",-26.04,-10.31,-29.06,-12.34
"-26.02,-10.24","-29.18,-12.25",-26.02,-10.24,-29.18,-12.25
"-26.09,-10.33","-29.17,-12.25",-26.09,-10.33,-29.17,-12.25
"-26.03,-10.44","-29.10,-12.04",-26.03,-10.44,-29.1,-12.04
"-26.00,-10.34","-29.10,-12.07",-26.0,-10.34,-29.1,-12.07
"-25.88,-10.19","-28.84,-12.12",-25.88,-10.19,-28.84,-12.12
"-25.57,-10.70","-28.60,-12.37",-25.57,-10.7,-28.6,-12.37
"-25.21,-10.82","-28.50,-12.37",-25.21,-10.82,-28.5,-12.37
"-25.14,-10.81","-28.37,-12.20",-25.14,-10.81,-28.37,-12.2
"-25.23,-10.42","-28.44,-12.10",-25.23,-10.42,-28.44,-12.1
"-25.31,-10.17","-28.37,-12.08",-25.31,-10.17,-28.37,-12.08
"-25.43,-10.26","-28.40,-12.00",-25.43,-10.26,-28.4,-12.0
"-25.69,-9.97","-28.37,-12.08",-25.69,-9.97,-28.37,-12.08
"-25.94,-9.81","-26.68,-11.28",-25.94,-9.81,-26.68,-11.28
"-23.48,-8.30","-25.26,-10.90",-23.48,-8.3,-25.26,-10.9
"-22.89,-7.77","-25.22,-10.62",-22.89,-7.77,-25.22,-10.62
"-23.24,-7.40","-25.35,-10.87",-23.24,-7.4,-25.35,-10.87
"-23.39,-7.80","-25.31,-11.15",-23.39,-7.8,-25.31,-11.15
"-23.43,-8.23","-27.68,-11.85",-23.43,-8.23,-27.68,-11.85
"-26.13,-9.44","-28.09,-12.28",-26.13,-9.44,-28.09,-12.28
"-26.01,-9.55","-28.00,-11.94",-26.01,-9.55,-28.0,-11.94
"-25.99,-9.52","-28.06,-11.94",-25.99,-9.52,-28.06,-11.94
"-26.05,-9.26","-28.14,-11.90",-26.05,-9.26,-28.14,-11.9
"-25.98,-8.96","-28.07,-11.87",-25.98,-8.96,-28.07,-11.87
"-25.98,-9.21","-28.08,-12.02",-25.98,-9.21,-28.08,-12.02
"-25.88,-9.85","-28.00,-12.04",-25.88,-9.85,-28.0,-12.04
"-25.82,-9.47","-28.03,-12.05",-25.82,-9.47,-28.03,-12.05
"-25.67,-9.27","-28.02,-11.94",-25.67,-9.27,-28.02,-11.94
"-25.67,-9.57","-28.02,-12.02",-25.67,-9.57,-28.02,-12.02
"-25.68,-9.53","-27.89,-12.26",-25.68,-9.53,-27.89,-12.26
"-25.09,-9.55","3.94,-3.13",-25.09,-9.55,3.94,-3.13
"12.40,1.08","25.53,-9.87",12.4,1.08,25.53,-9.87
"28.52,4.36","26.92,-8.13",28.52,4.36,26.92,-8.13
"27.15,6.25","27.85,-7.48",27.15,6.25,27.85,-7.48
"30.48,4.16","28.46,-7.11",30.48,4.16,28.46,-7.11
"26.68,7.62","28.68,-7.08",26.68,7.62,28.68,-7.08
"31.06,3.81","30.29,-6.84",31.06,3.81,30.29,-6.84
"28.05,9.08","29.90,-6.50",28.05,9.08,29.9,-6.5
"27.29,8.96","30.22,-6.60",27.29,8.96,30.22,-6.6
"27.12,9.34","30.36,-6.39",27.12,9.34,30.36,-6.39
"27.63,9.10","30.35,-6.36",27.63,9.1,30.35,-6.36
"27.40,9.58","30.30,-6.20",27.4,9.58,30.3,-6.2
"26.94,9.98","30.35,-6.11",26.94,9.98,30.35,-6.11
"26.94,9.64","30.43,-6.27",26.94,9.64,30.43,-6.27
"32.71,3.16","30.36,-6.23",32.71,3.16,30.36,-6.23
"27.60,9.56","30.58,-6.48",27.6,9.56,30.58,-6.48
"27.49,9.63","30.57,-6.45",27.49,9.63,30.57,-6.45
"27.28,9.43","30.60,-7.03",27.28,9.43,30.6,-7.03
"27.71,8.41","30.70,-6.97",27.71,8.41,30.7,-6.97
"27.82,8.78","30.77,-6.75",27.82,8.78,30.77,-6.75
"27.55,8.85","30.54,-6.82",27.55,8.85,30.54,-6.82
"27.54,8.96","30.55,-6.93",27.54,8.96,30.55,-6.93
"27.12,8.35","30.60,-7.11",27.12,8.35,30.6,-7.11
"27.13,9.08","30.88,-7.01",27.13,9.08,30.88,-7.01
"27.36,8.57","30.95,-7.07",27.36,8.57,30.95,-7.07
